n,Skewness,Excess kurtosis,OLS bootstrap,OLS Sobel,Box-Cox bootstrap,Winsorized bootstap,Median bootstrap,ROBMED
100,-1,1,0.988,0.977,0.993,0.999,0.879,0.984
100,-1,2,0.983,0.971,0.991,0.996,0.919,0.984
100,-1,3,0.973,0.965,0.989,0.995,0.947,0.989
100,-1,4,0.966,0.962,0.985,0.995,0.959,0.992
100,-0.5,0,0.994,0.972,0.993,0.996,0.844,0.966
100,-0.5,1,0.987,0.967,0.991,0.995,0.902,0.974
100,-0.5,2,0.977,0.964,0.987,0.995,0.940,0.977
100,-0.5,3,0.970,0.962,0.986,0.994,0.955,0.985
100,-0.5,4,0.963,0.958,0.986,0.994,0.966,0.989
100,0,-1,0.993,0.978,0.989,0.993,0.587,0.960
100,0,0,0.991,0.964,0.989,0.992,0.867,0.965
100,0,1,0.986,0.963,0.988,0.993,0.906,0.973
100,0,2,0.979,0.959,0.986,0.995,0.935,0.978
100,0,3,0.968,0.958,0.985,0.994,0.955,0.982
100,0,4,0.958,0.959,0.983,0.995,0.963,0.987
100,0.5,0,0.991,0.968,0.994,0.991,0.846,0.974
100,0.5,1,0.984,0.964,0.989,0.991,0.903,0.974
100,0.5,2,0.975,0.961,0.987,0.993,0.934,0.978
100,0.5,3,0.966,0.958,0.986,0.994,0.949,0.986
100,0.5,4,0.962,0.957,0.983,0.995,0.963,0.988
100,1,1,0.985,0.966,0.996,0.992,0.877,0.987
100,1,2,0.975,0.960,0.996,0.992,0.922,0.983
100,1,3,0.968,0.959,0.991,0.992,0.941,0.989
100,1,4,0.965,0.958,0.988,0.994,0.953,0.991
250,-1,1,1.000,1.000,1.000,1.000,1.000,1.000
250,-1,2,1.000,1.000,1.000,1.000,1.000,1.000
250,-1,3,1.000,1.000,1.000,1.000,1.000,1.000
250,-1,4,1.000,1.000,1.000,1.000,1.000,1.000
250,-0.5,0,1.000,1.000,1.000,1.000,0.999,1.000
250,-0.5,1,1.000,1.000,1.000,1.000,1.000,1.000
250,-0.5,2,1.000,1.000,1.000,1.000,1.000,1.000
250,-0.5,3,0.999,1.000,1.000,1.000,1.000,1.000
250,-0.5,4,0.998,1.000,1.000,1.000,1.000,1.000
250,0,-1,1.000,1.000,1.000,1.000,0.979,1.000
250,0,0,1.000,1.000,1.000,1.000,0.999,1.000
250,0,1,1.000,1.000,1.000,1.000,1.000,1.000
250,0,2,1.000,1.000,1.000,1.000,1.000,1.000
250,0,3,0.999,1.000,1.000,1.000,1.000,1.000
250,0,4,0.998,1.000,1.000,1.000,1.000,1.000
250,0.5,0,1.000,1.000,1.000,1.000,0.999,1.000
250,0.5,1,1.000,1.000,1.000,1.000,1.000,1.000
250,0.5,2,1.000,1.000,1.000,1.000,1.000,1.000
250,0.5,3,0.999,1.000,1.000,1.000,1.000,1.000
250,0.5,4,0.998,1.000,1.000,1.000,1.000,1.000
250,1,1,1.000,1.000,1.000,1.000,1.000,1.000
250,1,2,1.000,1.000,1.000,1.000,1.000,1.000
250,1,3,1.000,1.000,1.000,1.000,1.000,1.000
250,1,4,0.999,1.000,1.000,1.000,1.000,1.000
