"n","Skewness","Excess kurtosis","OLS bootstrap Bias","OLS bootstrap Std. dev.","OLS Sobel Bias","OLS Sobel Std. dev.","Box-Cox bootstrap Bias","Box-Cox bootstrap Std. dev.","Winsorized bootstap Bias","Winsorized bootstap Std. dev.","Median bootstrap Bias","Median bootstrap Std. dev.","ROBMED Bias","ROBMED Std. dev."
100,-1,1,"-0.001","0.043","-0.002","0.043","-0.002","0.056","-0.003","0.042","0.000","0.048","-0.001","0.042"
100,-1,2,"-0.002","0.043","-0.002","0.043","-0.002","0.054","-0.002","0.041","-0.001","0.043","-0.002","0.040"
100,-1,3,"-0.002","0.043","-0.002","0.043","-0.002","0.055","-0.002","0.041","-0.001","0.040","-0.002","0.039"
100,-1,4,"-0.001","0.043","-0.002","0.043","-0.002","0.060","-0.002","0.040","-0.001","0.038","-0.002","0.038"
100,-0.5,0,"-0.002","0.042","-0.002","0.042","-0.002","0.050","-0.002","0.042","-0.002","0.049","-0.002","0.045"
100,-0.5,1,"-0.002","0.042","-0.002","0.042","-0.002","0.049","-0.002","0.041","-0.002","0.044","-0.002","0.043"
100,-0.5,2,"-0.002","0.042","-0.002","0.042","-0.002","0.054","-0.002","0.041","-0.002","0.041","-0.002","0.041"
100,-0.5,3,"-0.002","0.042","-0.002","0.042","-0.003","0.060","-0.002","0.041","-0.002","0.039","-0.002","0.039"
100,-0.5,4,"-0.002","0.043","-0.002","0.043","-0.003","0.066","-0.002","0.040","-0.002","0.037","-0.002","0.038"
100,0,-1,"-0.002","0.041","-0.002","0.041","-0.002","0.049","-0.002","0.041","-0.002","0.064","-0.002","0.049"
100,0,0,"-0.002","0.041","-0.002","0.041","-0.002","0.043","-0.002","0.042","-0.002","0.047","-0.003","0.045"
100,0,1,"-0.002","0.041","-0.002","0.041","-0.002","0.048","-0.002","0.041","-0.002","0.043","-0.003","0.043"
100,0,2,"-0.002","0.042","-0.002","0.042","-0.003","0.056","-0.002","0.041","-0.002","0.040","-0.003","0.041"
100,0,3,"-0.002","0.042","-0.002","0.042","-0.003","0.063","-0.002","0.041","-0.002","0.038","-0.003","0.039"
100,0,4,"-0.002","0.042","-0.002","0.042","-0.003","0.069","-0.002","0.040","-0.002","0.036","-0.003","0.038"
100,0.5,0,"-0.002","0.041","-0.002","0.041","-0.002","0.036","-0.003","0.041","-0.002","0.048","-0.002","0.046"
100,0.5,1,"-0.002","0.041","-0.002","0.041","-0.002","0.041","-0.002","0.041","-0.002","0.043","-0.002","0.043"
100,0.5,2,"-0.002","0.041","-0.002","0.041","-0.002","0.052","-0.002","0.041","-0.002","0.040","-0.002","0.041"
100,0.5,3,"-0.002","0.042","-0.002","0.042","-0.003","0.061","-0.002","0.041","-0.002","0.038","-0.002","0.040"
100,0.5,4,"-0.002","0.042","-0.002","0.042","-0.003","0.069","-0.002","0.041","-0.002","0.036","-0.002","0.038"
100,1,1,"-0.002","0.041","-0.002","0.041","-0.001","0.029","-0.004","0.041","0.000","0.045","-0.001","0.042"
100,1,2,"-0.002","0.041","-0.002","0.041","-0.001","0.036","-0.003","0.041","-0.001","0.042","-0.002","0.041"
100,1,3,"-0.002","0.041","-0.002","0.041","-0.002","0.049","-0.003","0.041","-0.001","0.039","-0.002","0.040"
100,1,4,"-0.002","0.042","-0.002","0.041","-0.003","0.060","-0.002","0.041","-0.001","0.037","-0.002","0.038"
250,-1,1,"0.001","0.026","0.001","0.026","0.001","0.038","-0.001","0.026","0.001","0.030","0.001","0.025"
250,-1,2,"0.000","0.026","0.000","0.026","0.001","0.035","-0.001","0.025","0.001","0.027","0.000","0.024"
250,-1,3,"0.000","0.026","0.000","0.026","0.001","0.036","-0.000","0.025","0.001","0.025","0.000","0.023"
250,-1,4,"0.000","0.026","0.000","0.026","0.001","0.040","-0.000","0.025","0.001","0.023","0.000","0.023"
250,-0.5,0,"0.000","0.026","0.000","0.026","0.001","0.034","-0.000","0.026","0.000","0.031","0.000","0.028"
250,-0.5,1,"0.000","0.026","0.000","0.026","0.001","0.032","-0.000","0.026","0.000","0.028","0.000","0.026"
250,-0.5,2,"0.000","0.026","0.000","0.026","0.001","0.035","0.000","0.025","0.000","0.025","-0.000","0.025"
250,-0.5,3,"0.000","0.026","0.000","0.026","0.001","0.040","0.000","0.025","0.000","0.024","-0.000","0.023"
250,-0.5,4,"0.000","0.026","0.000","0.026","0.001","0.045","0.000","0.025","0.000","0.023","-0.000","0.022"
250,0,-1,"0.000","0.026","0.000","0.026","0.000","0.033","0.000","0.026","0.000","0.042","0.001","0.032"
250,0,0,"0.000","0.026","0.000","0.026","0.000","0.027","0.000","0.026","0.000","0.030","-0.000","0.028"
250,0,1,"0.000","0.026","0.000","0.026","0.001","0.030","0.000","0.026","0.000","0.027","-0.000","0.026"
250,0,2,"0.000","0.026","0.000","0.026","0.001","0.037","0.000","0.026","-0.000","0.025","-0.000","0.024"
250,0,3,"0.000","0.026","0.000","0.026","0.001","0.042","0.000","0.025","-0.000","0.024","-0.000","0.023"
250,0,4,"0.000","0.026","0.000","0.026","0.001","0.047","0.000","0.025","-0.000","0.022","-0.000","0.022"
250,0.5,0,"-0.000","0.026","-0.000","0.026","-0.000","0.021","-0.000","0.026","0.000","0.031","-0.000","0.028"
250,0.5,1,"-0.000","0.025","-0.000","0.025","0.000","0.024","0.000","0.026","0.000","0.028","-0.000","0.026"
250,0.5,2,"-0.000","0.025","-0.000","0.025","0.001","0.034","0.000","0.026","0.000","0.025","-0.000","0.025"
250,0.5,3,"-0.000","0.025","-0.000","0.025","0.001","0.041","0.000","0.025","0.000","0.024","-0.000","0.023"
250,0.5,4,"-0.000","0.026","-0.000","0.025","0.001","0.047","0.000","0.025","0.000","0.022","-0.000","0.022"
250,1,1,"-0.000","0.026","-0.000","0.026","-0.000","0.015","-0.002","0.026","0.001","0.030","-0.000","0.026"
250,1,2,"-0.000","0.025","-0.000","0.025","0.000","0.018","-0.001","0.026","0.000","0.027","-0.000","0.025"
250,1,3,"-0.000","0.025","-0.000","0.025","0.001","0.031","-0.000","0.026","0.000","0.025","-0.000","0.024"
250,1,4,"-0.000","0.025","-0.000","0.025","0.001","0.041","-0.000","0.025","0.000","0.023","-0.000","0.023"
